experiment,condition,seed,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm
sequence_sensitivity,k6,44,336.0341640114784,57.35159817351598,42.64840182648402,0.02171912452029301,0.013335654477385002,0.0,42.64840182648402,768.8118376138258,0.0,0.3100090297379731,1.4210854715202004e-14
sequence_sensitivity,k12,44,337.5004721581936,57.40867579908676,42.59132420091324,0.02174372689774146,0.013998000844181747,0.0,42.59132420091324,770.4871734400717,0.0,0.310127128859392,1.4210854715202004e-14
sequence_sensitivity,k24,44,338.91160306334496,57.294520547945204,42.705479452054796,0.021765767038997994,0.01384843851363418,0.0,42.705479452054796,771.5489630557056,0.0,0.3103911837362683,1.4210854715202004e-14
sequence_sensitivity,k48,44,339.0473687648773,57.28310502283105,42.71689497716895,0.02176764113985032,0.01385623543947605,0.0,42.71689497716895,771.7130430387142,0.0,0.31039633293538865,1.4210854715202004e-14
context_ablation,Full,55,448.00556832551956,49.42922374429224,50.57077625570776,0.023200376268120958,0.03239961646438557,1.2899543378995433,49.28082191780822,873.2540382024795,0.0,0.3184641955559427,1.4210854715202004e-14
context_ablation,No History,55,465.89948284626007,49.42922374429224,50.57077625570776,0.023372331041153882,0.037009116605422665,1.4383561643835616,49.1324200913242,891.960459817828,0.0,0.3189064123565909,1.4210854715202004e-14
context_ablation,No Forecast,55,490.26216292381287,47.57990867579909,52.42009132420091,0.023655119793231295,0.03777419605175101,1.2785388127853883,51.141552511415526,914.7651609207121,0.0,0.32041903337961125,1.4210854715202004e-14
context_ablation,No Context,55,514.7520569860935,46.141552511415526,53.858447488584474,0.02390018122656382,0.043208164624501506,1.3812785388127853,52.47716894977169,940.0440821586118,0.0,0.32090258536489524,2.842170943040401e-14
context_ablation,Shuffled History,55,470.4658502936363,48.926940639269404,51.07305936073059,0.023438321318334423,0.037358723120651825,1.3242009132420092,49.74885844748859,895.7569550677865,0.0,0.3189046189416289,2.842170943040401e-14
context_ablation,Reversed History,55,469.9184156060219,49.07534246575342,50.92465753424658,0.023429973852361986,0.03710757329496895,1.3013698630136987,49.62328767123287,895.1866721271163,0.0,0.3187946131266295,2.842170943040401e-14
context_ablation,Zero History,55,467.4661812186241,49.337899543378995,50.662100456621005,0.023389801615182764,0.037205477642923174,1.4383561643835616,49.22374429223744,893.4496006000111,0.0,0.31901859933456583,1.4210854715202004e-14
context_ablation,Shuffled Forecast,55,462.8518324792385,49.37214611872146,50.62785388127854,0.02334972996389096,0.03590265199166071,1.3926940639269407,49.2351598173516,888.6121889266506,0.0,0.3186337389556412,1.4210854715202004e-14
context_ablation,Zero Forecast,55,472.63485008478165,48.949771689497716,51.05022831050229,0.023450189521391916,0.035660548169450385,1.3584474885844748,49.69178082191781,897.9472607466772,0.0,0.31919530564162013,2.842170943040401e-14
forecast_robustness,SF10,55,448.48141035437584,49.42922374429224,50.57077625570776,0.023205241735159324,0.03247126262881247,1.2899543378995433,49.28082191780822,873.7191821073216,0.0,0.3184981443413098,1.4210854715202004e-14
forecast_robustness,SF20,55,448.00556832551956,49.42922374429224,50.57077625570776,0.023200376268120958,0.03239961646438557,1.2899543378995433,49.28082191780822,873.2540382024795,0.0,0.3184641955559427,1.4210854715202004e-14
forecast_robustness,SF30,55,447.4745708703995,49.474885844748854,50.52511415525114,0.023194696514575792,0.03233592141938953,1.2899543378995433,49.2351598173516,872.746827260624,0.0,0.31841059043630776,1.4210854715202004e-14
sequence_sensitivity,k6,55,447.11356657743454,49.509132420091326,50.490867579908674,0.023189395308020614,0.03231561027075115,1.2899543378995433,49.20091324200913,872.4021763898679,0.0,0.31843387773989085,1.4210854715202004e-14
sequence_sensitivity,k12,55,447.9011735022068,49.42922374429224,50.57077625570776,0.023199043836808448,0.032391290922444735,1.2899543378995433,49.28082191780822,873.1551491355503,0.0,0.31845951700063646,1.4210854715202004e-14
sequence_sensitivity,k24,55,448.00556832551956,49.42922374429224,50.57077625570776,0.023200376268120958,0.03239961646438557,1.2899543378995433,49.28082191780822,873.2540382024795,0.0,0.3184641955559427,1.4210854715202004e-14
sequence_sensitivity,k48,55,448.0082503259182,49.42922374429224,50.57077625570776,0.023200410385677002,0.0323997997355687,1.2899543378995433,49.28082191780822,873.2565962321829,0.0,0.3184643385771123,1.4210854715202004e-14
context_ablation,Full,66,342.98023465275764,56.99771689497717,43.00228310502283,0.02179391145720704,0.011682132112066663,0.0,43.00228310502283,777.686572364421,0.0,0.30474404896714274,1.4210854715202004e-14
context_ablation,No History,66,363.6180337071419,54.92009132420092,45.07990867579908,0.022191719061322304,0.013288530547783001,0.0,45.07990867579908,795.9605549253405,0.0,0.3103233196536913,1.4210854715202004e-14
context_ablation,No Forecast,66,351.848496735096,56.232876712328775,43.76712328767123,0.021946070276344848,0.011255537004609103,0.0,43.76712328767123,784.5016888802998,0.0,0.3079150422085972,1.4210854715202004e-14
context_ablation,No Context,66,378.2709575891495,54.01826484018265,45.98173515981735,0.02238774695955537,0.01277338038610669,0.0,45.98173515981735,808.1002106032488,0.0,0.3132155942368735,1.4210854715202004e-14
