variant,seed,forecast,memory,evaluation_split,result_status,checkpoint,checkpoint_sha256,checkpoint_validation_gate,total_irrigation_mm,time_in_target_pct,violation_rate_pct,rmse_band,action_smoothness,deficit_rate_pct,surplus_rate_pct,drainage_total_mm,runoff_total_mm,mean_soil_moisture,max_abs_mass_balance_error_mm,cumulative_reward,reward_version,training_device,new_interactions,base_anchor_interactions,effective_total_interactions
SAC + Forecast,11,True,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed11_best.pt,df130ea1531a496394907ae0f3ad825b915ce08edf95b82b4b01bf621117f6a2,True,363.9682439863682,54.34931506849316,45.65068493150685,0.0222405383240826,0.0147948000396763,0.0,45.65068493150685,790.3963961208449,0.0,0.3164681360005872,1.4210854715202004e-14,-1635.231336617761,reward_v4,cuda,6720,6720,13440
SAC + Forecast,22,True,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed22_best.pt,0619d9440dc7ef82d02df4b276454e2a6282a23b681137f1c4f73fac83072aae,True,392.07386296987534,56.03881278538813,43.96118721461188,0.0223409211647084,0.0220364492557979,0.0,43.96118721461188,822.684859684949,0.0,0.3078096569743293,1.4210854715202004e-14,-1097.0804009602289,reward_v4,cuda,6720,6720,13440
SAC + Forecast,33,True,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed33_best.pt,9443fb458ed8b143296c51c2809f2f0065b1b7904025725a4fa633009615b9c6,True,296.94811829924583,46.92922374429224,53.07077625570776,0.0218888887080093,0.0105586277253144,11.426940639269406,41.64383561643836,754.3815242112593,0.0,0.2976484540190745,1.4210854715202004e-14,-4259.828234888393,reward_v4,cuda,6720,6720,13440
SAC + Forecast,44,True,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed44_best.pt,a19ba34b003c2275c574d8a92a7773233772f3272cc5cccaae56f36c5fb58bed,True,329.9202690422535,57.26027397260274,42.73972602739726,0.0216335411313111,0.0104018174658791,0.0,42.73972602739726,761.491585806887,0.0,0.3120884367734928,1.4210854715202004e-14,-428.7534398710195,reward_v4,cuda,6720,6720,13440
SAC + Forecast,55,True,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed55_best.pt,106dcbdb4508f9bb7a264074b34641473d068c1d7cc1c02c0699327521701427,True,472.0233750343323,52.8310502283105,47.1689497716895,0.0233437368270669,0.0345389711515233,0.0,47.1689497716895,898.2271010456545,0.0,0.3179263607543453,2.8421709430404014e-14,-2498.702565157611,reward_v4,cuda,6720,6720,13440
SAC + Forecast,66,True,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed66_best.pt,d343abe22f49a6bdb2465572114b351b68bd4def21126993888291249a198e96,True,455.5256696641445,54.40639269406393,45.59360730593608,0.0230268034630489,0.0276265121007131,0.0,45.59360730593608,885.5508393943774,0.0,0.3149380389351253,1.4210854715202004e-14,-1820.25692624337,reward_v4,cuda,6720,6720,13440
SAC + Forecast,77,True,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed77_best.pt,0514a9dcd65a8ffc8200214c6cb84518936cd20b461d68f94c196ae1d6d65f0f,True,307.7209056019783,48.00228310502283,51.99771689497717,0.0217439191903059,0.0170092120747926,10.559360730593609,41.43835616438356,760.2039135867435,0.0,0.2983545648624944,1.4210854715202004e-14,-3505.5159617545933,reward_v4,cuda,6720,6720,13440
SAC + Forecast,88,True,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed88_best.pt,cbc46af0334c15ca31d2b547198cff54254ea9dc418fb779437e3265b249ecf4,True,349.23950147628784,55.57077625570776,44.42922374429224,0.0219555133752765,0.0119382992824036,0.0,44.42922374429224,777.8459480768644,0.0,0.3129540926453561,1.4210854715202004e-14,-1076.4736809072892,reward_v4,cuda,6720,6720,13440
SAC + Forecast,99,True,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed99_best.pt,b1340289d426ee0a3e00c4c85de51fc3718d26cf0b6ee44e7be3d0ef8a66bbf1,True,382.8724527657032,53.05936073059361,46.94063926940639,0.0224796236052376,0.0103129886515214,0.0,46.94063926940639,808.7973899363576,0.0,0.3180323987697495,2.8421709430404014e-14,-2093.929384233965,reward_v4,cuda,6720,6720,13440
SAC + Forecast,110,True,False,retrospective_final_benchmark_2025,CONFIRMATORY,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed110_best.pt,6b2102e015df1fd17a96af21362f9604b0582502fcca08ed921d8348f68a1d22,True,485.5976955294609,54.14383561643835,45.85616438356164,0.0234163140384419,0.0391056810677194,0.0,45.85616438356164,911.9202857539312,0.0,0.3162350102996866,1.4210854715202004e-14,-2134.190090859615,reward_v4,cuda,6720,6720,13440
