variant,seed,forecast,memory,reward_version,training_device,selected_episode,validation_gate,losses_finite,new_interactions,base_anchor_interactions,effective_total_interactions,checkpoint_selection,benchmark_used_for_selection,history_residual_norm,forecast_residual_norm,zero_history_action_delta_mm,zero_forecast_action_delta_mm,common_support_hash,checkpoint,checkpoint_sha256
SAC + Forecast,11,True,False,reward_v4,cuda,0,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed11_best.pt,df130ea1531a496394907ae0f3ad825b915ce08edf95b82b4b01bf621117f6a2
SAC + Forecast,22,True,False,reward_v4,cuda,0,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed22_best.pt,0619d9440dc7ef82d02df4b276454e2a6282a23b681137f1c4f73fac83072aae
SAC + Forecast,33,True,False,reward_v4,cuda,5,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed33_best.pt,9443fb458ed8b143296c51c2809f2f0065b1b7904025725a4fa633009615b9c6
SAC + Forecast,44,True,False,reward_v4,cuda,0,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed44_best.pt,a19ba34b003c2275c574d8a92a7773233772f3272cc5cccaae56f36c5fb58bed
SAC + Forecast,55,True,False,reward_v4,cuda,0,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed55_best.pt,106dcbdb4508f9bb7a264074b34641473d068c1d7cc1c02c0699327521701427
SAC + Forecast,66,True,False,reward_v4,cuda,20,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed66_best.pt,d343abe22f49a6bdb2465572114b351b68bd4def21126993888291249a198e96
SAC + Forecast,77,True,False,reward_v4,cuda,10,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed77_best.pt,0514a9dcd65a8ffc8200214c6cb84518936cd20b461d68f94c196ae1d6d65f0f
SAC + Forecast,88,True,False,reward_v4,cuda,0,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed88_best.pt,cbc46af0334c15ca31d2b547198cff54254ea9dc418fb779437e3265b249ecf4
SAC + Forecast,99,True,False,reward_v4,cuda,0,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed99_best.pt,b1340289d426ee0a3e00c4c85de51fc3718d26cf0b6ee44e7be3d0ef8a66bbf1
SAC + Forecast,110,True,False,reward_v4,cuda,5,True,True,6720,6720,13440,validation_2024_gate_target_water_rmse,False,,,,,c3c0243e21b5f12f1b06b011e2b09f276ce17a7194963bf905e106fb1dfee026,Checkpoints/POMDP_Ablation/sac_forecast/sac_forecast_seed110_best.pt,6b2102e015df1fd17a96af21362f9604b0582502fcca08ed921d8348f68a1d22
