model,seed,device,reward_version,selected_episode,validation_gate,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,mean_soil_moisture,max_abs_mass_balance_error_mm,checkpoint,checkpoint_sha256,benchmark_period,benchmark_2025_total_irrigation_mm,benchmark_2025_time_in_target_pct,benchmark_2025_violation_rate_pct,benchmark_2025_rmse_band,benchmark_2025_action_smoothness,benchmark_2025_deficit_rate_pct,benchmark_2025_surplus_rate_pct,benchmark_2025_drainage_total_mm,benchmark_2025_runoff_total_mm,benchmark_2025_mean_soil_moisture,benchmark_2025_max_abs_mass_balance_error_mm,checkpoint_training_period,checkpoint_validation_period,forecast_protocol,forecast_intervention_action_delta_mm,sequence_length,memory_active,context_residual_norm,zero_history_action_delta_mm,reverse_history_action_delta_mm,shuffle_history_action_delta_mm,history_active,forecast_active,history_residual_norm,forecast_residual_norm,zero_forecast_action_delta_mm,zero_context_action_delta_mm
SAC + Forecast,11,cuda,,100,True,615.4864974915981,59.85883424408015,40.14116575591986,0.0,40.14116575591986,0.3043099744174317,2.8421709430404014e-14,Checkpoints\SAC_Forecast\sac_forecast_seed11_reward_v2_sf20_training_ep100.pt,7ea0a846925337901ddc3a48bd85d33de16985596b31a60c7693c55b0e11df59,2025,373.3977928161621,56.32420091324201,43.67579908675799,0.0219930328234605,0.0201828268676986,0.0,43.67579908675799,802.4879626576263,0.0,0.30874750059860195,1.4210854715202004e-14,2021-2023,2024,SF-20_h1_controlled_proxy,0.0284085184158313,,,,,,,,,,,,
SAC + Forecast,22,cuda,,30,True,610.2517285943031,59.84744990892532,40.15255009107468,0.0,40.15255009107468,0.2989924415377578,2.8421709430404014e-14,Checkpoints\SAC_Forecast\sac_forecast_seed22_reward_v2_sf20_training_ep100.pt,c7f5dc72b02ac3d699a620831c923a6be77dc9a56bc825071a72029beb4125e8,2025,363.1892724633217,57.8310502283105,42.1689497716895,0.02185941713970857,0.022545104685378462,0.0,42.1689497716895,792.9882419061121,0.0,0.3086388974473485,1.4210854715202004e-14,2021-2023,2024,SF-20_h1_controlled_proxy,0.0222191426548219,,,,,,,,,,,,
SAC + Forecast,33,cuda,,20,True,581.509077757597,56.93306010928961,43.06693989071038,0.0,43.06693989071038,0.3147481029936753,2.8421709430404014e-14,Checkpoints\SAC_Forecast\sac_forecast_seed33_reward_v2_sf20_training_ep100.pt,8c4695ac060caf99c057aca52fb7468f63b748f9df5fa133576e17ff7ee9dfd5,2025,371.56340062618256,54.05251141552512,45.94748858447489,0.022340713002433028,0.021571986257301806,0.0,45.94748858447489,798.6086610382011,0.0,0.31471184267507596,2.842170943040401e-14,2021-2023,2024,SF-20_h1_controlled_proxy,0.0424462576352414,,,,,,,,,,,,
SAC + Forecast,44,cuda,,30,True,558.8205405175686,59.22131147540984,40.77868852459016,0.250455373406193,40.528233151183976,0.3027933840375732,2.8421709430404014e-14,Checkpoints\SAC_Forecast\sac_forecast_seed44_reward_v2_sf20_training_ep100.pt,bb0a3566991f9890721de329c42fe5aaeb79cc1f9ae3062d3b9acf64e74b3eba,2025,327.66388377547264,56.79223744292238,43.20776255707763,0.021454398563547604,0.013757887112113055,3.5388127853881275,39.6689497716895,766.1547818836008,0.0,0.3000328110422311,1.4210854715202004e-14,2021-2023,2024,SF-20_h1_controlled_proxy,0.0043394638314133,,,,,,,,,,,,
SAC + Forecast,55,cuda,,20,True,678.8222460150719,57.502276867030965,42.49772313296904,1.331967213114754,41.16575591985428,0.3029813447911001,2.8421709430404014e-14,Checkpoints\SAC_Forecast\sac_forecast_seed55_reward_v2_sf20_training_ep100.pt,635cbfb48cf4491ee56e9afcc092e0524a086a4f7e30571cadf087c033097577,2025,440.42703607678413,54.977168949771695,45.02283105022831,0.022971627473363412,0.03425083440492545,0.0,45.02283105022831,867.983907712878,0.0,0.31043088469546026,1.4210854715202004e-14,2021-2023,2024,SF-20_h1_controlled_proxy,0.0253046863668021,,,,,,,,,,,,
SAC + Forecast,66,cuda,,100,True,558.0754574239254,60.45081967213115,39.54918032786885,0.0,39.54918032786885,0.2978481854894141,2.8421709430404014e-14,Checkpoints\SAC_Forecast\sac_forecast_seed66_reward_v2_sf20_training_ep100.pt,4ab763d86467cd0d65d2280f3aef6bbefb5571f632282d78cb94557a0e8e013c,2025,329.1055667102337,60.01141552511415,39.98858447488585,0.02132646472534454,0.014529719157692014,0.0,39.98858447488585,765.8964718935977,0.0,0.3010400451400789,1.4210854715202004e-14,2021-2023,2024,SF-20_h1_controlled_proxy,0.0111557294925053,,,,,,,,,,,,
SAC + Forecast,77,cuda,,50,True,542.198737680912,59.18715846994536,40.81284153005464,0.9335154826958106,39.87932604735883,0.3028146640504828,2.8421709430404014e-14,Checkpoints\SAC_Forecast\sac_forecast_seed77_reward_v2_sf20_training_ep100.pt,81c4906b84be744182e14cf5706821d3f342e1e6f361f750f1606d37d6823015,2025,332.4629936516285,56.141552511415526,43.858447488584474,0.021755057117151443,0.014914887856370115,0.0,43.858447488584474,759.7273442802432,0.0,0.31083826568929446,1.4210854715202004e-14,2021-2023,2024,SF-20_h1_controlled_proxy,0.011967553624085,,,,,,,,,,,,
SAC + Forecast,88,cuda,,20,True,565.2403943240643,58.62932604735883,41.37067395264117,0.0,41.37067395264117,0.3093879016471533,2.8421709430404014e-14,Checkpoints\SAC_Forecast\sac_forecast_seed88_reward_v2_sf20_training_ep100.pt,95cca1309c438c79045f4ee0405e3c967a7e969897ce265bc9a35edb88345669,2025,342.30113580822945,56.25570776255707,43.74429223744292,0.02182446195715723,0.015471293139177339,0.273972602739726,43.470319634703195,776.4621632128406,0.0,0.3056829373610882,1.4210854715202004e-14,2021-2023,2024,SF-20_h1_controlled_proxy,0.0134425623608487,,,,,,,,,,,,
SAC + Forecast,99,cuda,,100,True,717.3009280860424,60.81511839708561,39.18488160291439,0.0,39.18488160291439,0.2992120802535695,2.8421709430404014e-14,Checkpoints\SAC_Forecast\sac_forecast_seed99_reward_v2_sf20_training_ep100.pt,a6546b512aa25822c484ddf4bebf0e471320ab23d281f614e40b05a3725509fd,2025,398.3659813404083,59.04109589041096,40.95890410958904,0.02200351549705456,0.026415373166683454,0.0,40.95890410958904,832.202158340333,0.0,0.3047996332733251,2.842170943040401e-14,2021-2023,2024,SF-20_h1_controlled_proxy,0.0121776701971178,,,,,,,,,,,,
SAC + Forecast,110,cuda,,30,True,598.3519530892372,59.14162112932605,40.85837887067395,0.0,40.85837887067395,0.3071710612782787,2.8421709430404014e-14,Checkpoints\SAC_Forecast\sac_forecast_seed110_reward_v2_sf20_training_ep100.pt,ddd3529810491c972cdfd5bde1e7dad6c15f306794eb11887c3f1d8e923f5f8f,2025,352.07691740989685,56.678082191780824,43.321917808219176,0.02188826682406411,0.015376090231055007,0.0,43.321917808219176,784.0541750692674,0.0,0.3070077470952798,1.4210854715202004e-14,2021-2023,2024,SF-20_h1_controlled_proxy,0.0073941814757528,,,,,,,,,,,,
